Id;municipio_inmueble;estrato;direccion del inmueble;tipo inmueble;barrio;alcantarillado en el sector;acueducto en el sector;gas en el sector;energia en el sector;telefono en el sector;alcantarillado en el predio;acueducto en el predio;gas en el predio;energia en el predio;telefono en el predio;sardineles en las vias;andenes en las vias;topografia sector;transporte;demanda interes;paradero;alumbrado;arborizacion;alamedas;ciclo rutas;nivel de equipamiento comercial;area valorada;citofono;cocina;bicicletero;estudio;habitaciones;sala;porteria;piscina;cuarto del servicio;estar habitacion;tanque de agua;club house;garaje visitantes;vigilancia privada;vias pavimentadas;vigilancia 24 horas;administracion;antiguedad;sauna;comedor;baÒos;zona verde privada;balcon;terraza;patio interior;jardin;zona de ropas;numero total de garajes;numero total de depositos;longitud;latitud;valor total avaluo
6141;BOGOTA;3;KR 90 # 139 - 50 AP. 1104;APARTAMENTO;SUBA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;LIGERA;BUENO;MEDIA;SI;SI;NO;NO;SI;BUENO;34.45;SI;1;SI;0;2;1;SI;NO;0;0;SI;NO;SI;SI;SI;SI;TIENE;1;NO;1;1;NO;1;0;0;0.0;1;0;0.0;-741.133.177;47.003.203;110067750.0
6142;CALI;3;CL 33 F # 17 B - 19 B/ATANASIO GIRARDOT HOY.;CASA;SANTA FE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;NO;NO;BUENO;107.8;0;2;0;0;4;2;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;52;0;2;2;NO;0;0;2;0.0;2;0;0.0;-740.580.753;47.253.814;136004000.0
6143;GIRON;3;CL 13 # 25 - 68 TORRE 4 APARTAMENTO 1004;APARTAMENTO;RA≠O PRADO;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;NO;NO;BUENO;57.29;SI;1;NO;0;3;1;SI;SI;0;0;SI;NO;SI;SI;SI;SI;TIENE;0;NO;1;2;NO;1;0;0;0.0;1;0;0.0;-7.410.565.849.999.990;46.982.136;155255900.0
6144;MEDELLIN;5;KR 84 F # 3 C - 40 ED. 1 APTO 904;APARTAMENTO;BELEN LOS BERNAL;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;LIGERA;BUENO;FUERTE;SI;SI;SI;SI;NO;BUENO;46.3;SI;1;NO;0;2;1;SI;SI;0;0;SI;NO;SI;SI;SI;SI;TIENE;2;NO;1;1;NO;1;0;0;0.0;0;1;1.0;-7.406.122.020.000.000;47.008.047;213607600.0
6145;PALMIRA;4;KR 10 A # 31 - 91;CASA;URB RINCA≥N DEL BOSQUE;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;PLANA;REGULAR;DA©BIL;SI;SI;SI;NO;NO;BUENO;110.24;0;1;0;0;3;1;0;0;0;1;0;0;0;NO;SI;NO;NO TIENE;4;0;1;3;SI;0;1;1;1.0;1;1;0.0;-755.555.181;623.403;179006000.0
6146;BOGOTA;3;KR 90 A # 8 A - 10  TO 1 AP 1102;APARTAMENTO;TINTALA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;SI;SI;BUENO;59.53;SI;1;NO;0;3;1;SI;NO;0;0;NO;NO;SI;SI;SI;SI;TIENE;1;NO;1;2;NO;0;0;0;0.0;1;1;0.0;-760.408.382;18.556.043;226214000.0
6147;BOGOTA;3;CL 68 # 88 - 53 AP 303;APARTAMENTO;FLORIDA BLANCA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;NO;NO;MUY BUENO;60.0;NO;1;NO;0;3;1;NO;NO;0;0;SI;NO;NO;NO;SI;NO;TIENE;0;NO;1;2;NO;0;0;0;0.0;1;1;0.0;-737.567.733;39.846.159;174600000.0
6148;PEREIRA;3;LOTE 3 MANZANA G;CASA;LA UNION;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;NO;NO;EN PROYECTO;45.0;0;1;0;0;2;1;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;22;0;1;1;NO;0;0;0;0.0;1;0;0.0;-7.556.993.680.000.000;62.053.653;53076000.0
6149;RESTREPO;4;"LOS ARRAYANES CABAA±A 21, CONJUNTO 1 KM 6 VIA RESTREPO 															";CASA;"V PUENTEAMARILLO														";SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;FUERTE;NO;SI;SI;SI;NO;REGULAR MALO;328.0;SI;1;SI;1;3;1;SI;NO;1;0;NO;SI;SI;SI;SI;SI;TIENE;2;SI;1;4;SI;0;2;0;1.0;1;2;0.0;-741.205.647;45.594.563;661222000.0
6150;ENVIGADO;5;CL 36 SUR # 27 - 10 TR 1 APTO 523;APARTAMENTO;LOMA CHOCHO;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;INCLINADA;BUENO;MEDIA;NO;SI;SI;NO;NO;MUY BUENO;84.23;NO;1;NO;0;3;1;SI;SI;0;0;SI;NO;SI;SI;SI;SI;TIENE;5;SI;1;3;NO;1;0;0;0.0;1;1;1.0;-740.909.219;47.587.434;370343000.0
6151;CUCUTA;2;CL 3 # 1 - 03 ;CASA;MOTILONES;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;LIGERA;BUENO;MEDIA;NO;SI;SI;NO;NO;BUENO;111.0;0;1;0;0;3;1;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;16;0;1;1;NO;0;0;0;0.0;1;1;0.0;-756.432.025;61.571.499;103394400.0
6152;MEDELLIN;3;CL 15 # 72 - 15 EDIFICIO 106 APTO 402;APARTAMENTO;BELEN LAS PLAYAS;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO TIENE;BUENO;PLANA;BUENO;FUERTE;SI;SI;SI;NO;SI;BUENO;68.94;NO;1;NO;0;3;1;SI;NO;0;0;NO;NO;SI;SI;SI;SI;TIENE;53;NO;1;2;NO;1;0;0;0.0;1;0;0.0;-730.574.393;7.021.824;162009000.0
6153;MEDELLIN;4;KR 35 # 19 - 620 APTO 1203 NIVEL 1646 TORRE 1;APARTAMENTO;POBLADO PALMAS;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;LIGERA;BUENO;MEDIA;SI;SI;SI;NO;NO;BUENO;65.0;SI;1;NO;0;2;1;SI;SI;0;0;SI;SI;SI;SI;SI;SI;TIENE;5;SI;1;2;NO;1;0;0;0.0;1;1;1.0;-7.403.512.490.000.000;47.161.515;286900000.0
6154;ITAGUI;3;KR 52 E # 75 A SUR - 104 APARTAMENTO 1402;APARTAMENTO;SURAMERICA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;LIGERA;BUENO;FUERTE;SI;SI;SI;SI;NO;BUENO;53.76;SI;1;NO;0;3;1;SI;SI;0;0;SI;NO;SI;SI;SI;SI;TIENE;5;SI;1;2;NO;1;0;0;0.0;1;1;1.0;-7.654.213.890.000.000;3.392.062;195644800.0
6155;VALLEDUPAR;2;KR 4 J # 21 BIS - 84;CASA;SANTA RITA;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;PLANA;REGULAR;MEDIA;NO;SI;SI;NO;NO;BUENO;54.0;0;1;0;0;3;1;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;24;0;1;2;NO;0;1;1;0.0;1;0;0.0;-7.524.882;4.426.826;62250000.0
6156;MEDELLIN;3;CL 95 # 51 - 20 SEGUNDO PISO ;APARTAMENTO;ARANJUEZ;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;BUENO;BUENO;LIGERA;BUENO;FUERTE;NO;SI;SI;NO;NO;REGULAR MALO;127.76;NO;1;NO;0;4;1;NO;NO;0;0;NO;NO;NO;NO;SI;NO;NO TIENE;30;NO;1;2;SI;0;0;1;0.0;1;0;0.0;-7.561.621.219.999.990;623.559;195549200.0
6157;CARTAGENA;4;CL 29 # 18 B - 18 APARTAMENTO 4C;APARTAMENTO;MANGA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;FUERTE;NO;SI;NO;NO;SI;BUENO;103.5;SI;1;SI;0;3;1;SI;SI;0;0;SI;NO;SI;SI;SI;SI;TIENE;0;NO;1;3;NO;1;0;0;0.0;1;2;0.0;-75.693.724;45.122.192;391900000.0
6158;FLORIDABLANCA;2;CL 8 # 13 - 75 APTO 601;APARTAMENTO;VILLABEL;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;LIGERA;BUENO;MEDIA;SI;SI;NO;NO;NO;BUENO;70.83;SI;1;NO;0;3;1;NO;NO;0;0;NO;NO;NO;NO;SI;NO;NO TIENE;1;NO;1;2;NO;0;0;0;0.0;1;0;0.0;-7.403.702.659.999.990;47.246.788;119348550.0
6159;BARRANQUILLA;2;CL 119 # 10 - 08 MZ 49 LT 2;CASA;EL PUEBLO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;NO;NO;BUENO;54.96;0;1;0;0;4;1;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;37;0;1;1;NO;0;1;1;0.0;1;0;0.0;-7.565.812.109.999.990;45.433.835;62221360.0
6161;SAN GIL;3;KR 13 # 18 SUR - 30 APTO 201 TR5 MZG;APARTAMENTO;MARCELLA CAMPESTRE II;SI;SI;SI;SI;NO;SI;SI;SI;SI;NO;BUENO;BUENO;LIGERA;BUENO;MEDIA;SI;SI;SI;NO;NO;BUENO;68.0;NO;1;NO;0;3;1;NO;NO;0;0;NO;NO;NO;NO;SI;NO;NO TIENE;1;NO;1;2;NO;0;0;1;0.0;0;0;0.0;-748.120.502;109.801.332;93024000.0
6162;MELGAR;4;CL 5 # 20 - 94 APTO 301 BLOQUE 1 - PRIMERA ETAPA;APARTAMENTO;CENTRO;SI;SI;SI;SI;NO;SI;SI;SI;SI;NO;BUENO;BUENO;PLANA;BUENO;MEDIA;NO;NO;NO;NO;NO;BUENO;63.642;NO;1;NO;0;1;1;SI;NO;0;0;NO;NO;NO;NO;SI;NO;NO TIENE;0;NO;1;2;NO;2;0;0;0.0;1;1;0.0;-762.985.006;35.438.419;197284000.0
6163;CHINAVITA;3;KR 5 # 2 - 43;CASA;CENTRO;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;LIGERA;BUENO;MEDIA;SI;SI;SI;NO;NO;BUENO;142.0;0;1;0;0;4;1;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;22;0;1;2;SI;0;1;1;0.0;1;2;0.0;-7.562.481.590.000.000;4.891.941;193700000.0
6164;MEDELLIN;3;KR 39 # 65 - 73 PS 1.;APARTAMENTO;VILLA HERMOSA;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;BUENO;BUENO;INCLINADA;BUENO;MEDIA;SI;SI;NO;NO;NO;MUY BUENO;94.29;NO;1;NO;0;3;1;NO;NO;0;0;NO;NO;NO;NO;SI;NO;NO TIENE;18;NO;1;2;NO;0;0;2;0.0;1;0;0.0;-741.063.599;45.665.154;180539500.0
6165;LOS PATIOS;5;CL 30 # 6 - 39 APTO 1207 Y PARQ. 047 TRR 2;APARTAMENTO;URB. BELLABISTA;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;BUENO;BUENO;LIGERA;BUENO;MEDIA;NO;SI;SI;NO;NO;BUENO;75.0;SI;1;NO;0;3;1;SI;SI;0;0;NO;NO;SI;SI;SI;SI;NO TIENE;3;NO;1;2;NO;1;0;0;0.0;1;0;0.0;-765.888.598;246.784;221255900.0
6166;BOGOTA;2;KR 68 B # 37 A - 12 SUR   AP 302;APARTAMENTO;ALQUERIA LA FRAGUA NORTE;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;NO;NO;NO;BUENO;57.71;SI;1;NO;0;3;1;SI;NO;0;0;SI;NO;NO;NO;SI;NO;NO TIENE;13;NO;1;2;NO;0;0;0;0.0;1;0;0.0;-756.247.162;48.915.224;150046000.0
6167;SANTA MARTA;6;CL 23 # 1 - 89 APARTASUITE 1402 TORRE B;APARTAMENTO;BELLA VISTA;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;PLANA;BUENO;MEDIA;NO;SI;SI;NO;NO;BUENO;98.41;SI;1;NO;0;2;1;SI;SI;0;0;SI;SI;SI;SI;SI;SI;NO TIENE;0;SI;1;2;NO;2;0;0;0.0;1;1;0.0;-756.247.237;48.917.512;654824000.0
6169;PASTO;4;CL 11 A # 39 A - 03 APTO 2. ;APARTAMENTO;MARILUZ;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;LIGERA;BUENO;MEDIA;SI;SI;NO;NO;NO;BUENO;89.85;SI;1;NO;1;3;1;NO;NO;0;0;SI;NO;NO;NO;SI;NO;NO TIENE;0;NO;1;2;NO;1;0;0;0.0;1;0;0.0;-75.899.989;8.759.087;188895000.0
6170;MEDELLIN;3;CL 40 # 101 A - 82 APT 102;APARTAMENTO;SAN JAVIER;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO TIENE;BUENO;LIGERA;BUENO;MEDIA;SI;SI;SI;NO;NO;BUENO;67.2;NO;1;NO;0;4;1;NO;NO;0;0;NO;NO;NO;NO;SI;NO;NO TIENE;33;NO;1;3;NO;0;1;0;0.0;1;1;0.0;-764.916.944;34.773.304;142299900.0
6171;BOGOTA;4;CL 192 # 11 A - 51 IN 23 T 13 APTO 445;APARTAMENTO;CANAIMA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;SI;SI;MUY BUENO;52.53;SI;1;NO;0;3;1;SI;NO;0;0;NO;NO;SI;SI;SI;SI;TIENE;9;NO;1;2;NO;0;0;0;0.0;1;0;0.0;-754.062.353;92.801.557;168096000.0
6172;PALMIRA;2;KR 45 # 96 B - 02 LOTE 1 MZ J;CASA;LOS TULIPANES;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;NO;NO;BUENO;70.0;0;1;0;1;3;1;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;5;0;1;2;NO;1;0;1;0.0;1;0;0.0;-730.518.815;69.990.935;93100000.0
6173;CHINCHINA;3;CL 6 # 11 A - 10 URB. BETANIA;CASA;BETANIA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;LIGERA;BUENO;MEDIA;NO;SI;SI;NO;NO;BUENO;61.0;0;1;0;0;3;1;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;33;0;1;1;NO;1;0;1;0.0;0;0;0.0;-7.488.388;4.141.867;107000000.0
6174;SANTA MARTA;6;CL 23 # 1 - 89 APARTA SUITE 903;APARTAMENTO;BELLA VISTA;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;PLANA;BUENO;MEDIA;NO;SI;SI;NO;NO;BUENO;64.69;SI;1;NO;0;1;1;SI;SI;0;0;SI;NO;SI;NO;SI;NO;NO TIENE;1;NO;1;2;NO;2;0;0;0.0;1;1;0.0;-765.839.617;24.633.304;393733000.0
6175;MONTERIA;4;TV 14 C # 44 - 12 APARTAMENTO 201 TORRE 3;APARTAMENTO;URBANIZACIAìN  MONTEVERDE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;NO;NO;NO;BUENO;74.1;SI;1;NO;0;3;1;SI;SI;0;0;SI;NO;SI;SI;SI;SI;TIENE;5;NO;1;2;NO;1;0;0;0.0;1;1;0.0;-7.649.898.459.999.990;34.889.807;160200000.0
6176;CARTAGENA;3;KR 16 # 62 - 130 Y 62 - 110 APARTAMENTO 205;APARTAMENTO;CANAPOTE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;MALO;MEDIA;NO;SI;SI;NO;NO;BUENO;59.23;SI;1;SI;0;2;1;SI;SI;0;0;SI;NO;SI;SI;SI;SI;NO TIENE;0;NO;1;2;NO;1;0;0;0.0;1;0;0.0;-748.115.502;110.066.987;213228000.0
6177;PASTO;3;KR 26 # 13 - 41 APTO 402;APARTAMENTO;SAN FELIPE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;LIGERA;BUENO;MEDIA;SI;SI;NO;NO;NO;BUENO;68.53;SI;1;NO;0;2;1;NO;NO;0;0;SI;NO;NO;NO;SI;NO;TIENE;1;NO;1;2;NO;0;0;0;0.0;1;1;0.0;-7.409.047;4.748.983;209016500.0
6178;BOGOTA;1;CL 69 C BIS SUR # 20 F - 36 LOTE 04 MZ 11;CASA;JUAN JOSE RONDON;NO;NO;NO;NO;NO;0;0;NO;NO;NO;NO TIENE;NO TIENE;LIGERA;BUENO;MEDIA;NO;NO;NO;NO;NO;MUY BUENO;61.2;0;1;0;0;2;1;0;0;0;0;0;0;0;NO;NO;NO;NO TIENE;10;0;1;1;NO;0;0;1;0.0;1;0;0.0;-741.362.685;46.324.269;69138000.0
6179;BOGOTA;3;CARRERA 109 B  153 60 APTO  701 TO 1;APARTAMENTO;LAS MERCEDES;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;NO;NO;BUENO;52.54;SI;1;SI;0;3;1;SI;NO;0;0;NO;SI;SI;SI;SI;SI;TIENE;1;NO;1;2;NO;0;0;0;0.0;1;1;0.0;-731.683.749;70.547.071;205194800.0
6180;CARTAGENA;3;KR 16 # 62 - 130 Y 62 - 110APARTAMENTO 404;APARTAMENTO;CANAPOTE ;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;MALO;MEDIA;NO;SI;SI;NO;NO;BUENO;79.78;SI;1;SI;0;2;1;SI;SI;0;0;SI;NO;SI;SI;SI;SI;NO TIENE;0;NO;1;2;NO;1;0;0;0.0;1;0;0.0;-738.529.542;70.662.848;279230000.0
6181;PALMIRA;2;CL 6A #D26-63;CASA;PARQUES DE LA ITALIA;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;PLANA;BUENO;MEDIA;NO;SI;SI;NO;NO;BUENO;53.3;0;1;0;0;2;1;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;10;0;1;1;NO;0;0;1;1.0;1;0;0.0;-730.725.257;70.430.713;55095000.0
6182;BELLO;2;KR 49 A # 67 - 34 URB. EL MIRADOR 1 PLANTA;CASA;MIRADOR;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO TIENE;BUENO;INCLINADA;BUENO;MEDIA;NO;SI;SI;NO;NO;REGULAR MALO;41.52;NO;1;NO;1;3;1;NO;NO;0;0;NO;NO;NO;NO;SI;NO;NO TIENE;33;NO;1;2;NO;0;0;1;0.0;0;0;0.0;-7.556.564.190.000.000;6.167.298;62280000.0
6183;CALI;5;KR 84 # 5 - 100 APOT 104 B TORRE DEL PUENTE ET 1;APARTAMENTO;MAYAPA°N-LAS VEGAS;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;SI;SI;MUY BUENO;68.99;SI;1;SI;1;3;1;SI;SI;0;0;SI;SI;SI;SI;SI;SI;TIENE;6;SI;1;2;NO;0;1;1;0.0;1;2;1.0;-7.412.918.379.999.990;47.178.029;216815000.0
6184;MONTERIA;1;CL 3 A # 1 B - 10;CASA;BRISAS DEL SINU;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO TIENE;NO TIENE;PLANA;BUENO;DA©BIL;SI;SI;NO;NO;NO;BUENO;51.1;0;1;0;0;3;1;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;23;0;1;1;NO;0;1;0;0.0;1;0;0.0;-757.013.758;4.515.923;37288400.0
6185;BOGOTA;4;CL 79 A # 66 - 25 IN 6 AP 311;APARTAMENTO;METRA≥POLIS;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;SI;NO;NO;BUENO;90.45;SI;1;SI;0;3;1;SI;NO;1;0;SI;NO;SI;SI;SI;SI;TIENE;33;NO;1;3;NO;0;0;0;0.0;1;1;0.0;-7.404.808.249.999.990;47.133.044;354111750.0
6186;CIENAGA;2;LOTE N¬∞ 1 CALLE 30 CARRERAS 12 Y 13;CASA;CARREAëO;SI;SI;SI;SI;SI;NO;NO;NO;NO;NO;BUENO;BUENO;PLANA;BUENO;DA©BIL;SI;SI;SI;NO;NO;BUENO;120.0;0;2;0;0;4;2;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;9;0;2;2;NO;0;2;2;0.0;2;0;0.0;-7.414.196;4.710.138;95340000.0
6187;FACATATIVA;3;KR 4 B # 16 - 35 MARIA PAULA;CASA;MARIA PAULA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;BUENO;BUENO;PLANA;BUENO;MEDIA;SI;SI;NO;NO;NO;BUENO;120.0;0;2;0;0;4;2;0;0;0;0;0;0;0;NO;SI;NO;NO TIENE;31;0;2;2;NO;0;1;1;0.0;0;0;0.0;-7.395.577;4.729.674;174840000.0
6188;PUERTO CARREAëO;1;DG 22 # 31 - 46;CASA;SANTA MONICA;NO;SI;NO;SI;SI;NO;SI;NO;SI;SI;NO TIENE;NO TIENE;PLANA;REGULAR;NULA;NO;NO;NO;NO;NO;MUY BUENO;103.0;0;1;0;0;3;1;0;0;0;0;0;0;0;NO;NO;NO;NO TIENE;9;0;1;2;NO;0;0;1;0.0;1;0;0.0;-7.292.743.979.999.990;57.049.616;74000900.0
